text,topic,label
"Inside Ford's new world headquarters: Scratch kitchens, rotisserie chickens and design secrets",Business,real
The government shutdown is over. The air traffic controller shortage is not,Business,real
"Trump cuts tariffs on goods like coffee, bananas and beef in bid to slash consumer prices",Business,real
Walmart shares are up 312% during outgoing CEO Doug McMillon's tenure. Here's how that compares to its rivals,Business,real
JPMorgan Chase wins fight with fintech firms over fees to access customer data,Business,real
Walmart CEO Doug McMillon to retire in January after nearly 12 years leading retailer,Business,real
"Fewer burritos, more bargains: Consumers flash holiday warning signs",Business,real
Billionaire families opt for buying sports teams over collecting art and cars,Business,real
D.R. Horton is tapping a startup’s AI zoning tool to build more homes,Business,real
Surveillance tech leads workers' comp claims to plummet at NYC construction sites,Business,real
"New foreclosures jump 20% in October, a sign of more distress in the housing market",Business,real
"Boeing defense workers approve new contract, ending more than 3-month strike",Business,real
Disney stock falls 7% as media giant posts mixed results,Business,real
MLS games head to Apple TV in 2026 as Season Pass subscription ends,Business,real
"Congressional hemp restrictions threaten $28 billion industry, sending companies scrambling",Business,real
Starbucks workers union launches strike in more than 40 cities on chain's key holiday sales day,Business,real
Sotheby's CEO sees 'very strong demand' ahead of $1.4 billion art auctions,Business,real
Verizon chairman Mark Bertolini says the board 'needed to act' to revive company,Business,real
This startup backed by Bezos and Benioff launched a trading platform for shares of rental homes,Business,real
From AI to ESG: Family offices expect heirs will take new path on investing,Business,real
Skims valued at $5 billion after new funding round as it accelerates store expansion,Business,real
"DOT freezes flight cuts as disruptions ease, shutdown ends",Business,real
"Toyota opens new U.S. battery plant, confirms $10 billion in new investments",Business,real
WNBA's Las Vegas Aces coach Becky Hammon says the league may need new leadership,Business,real
Shares of Swiss sneaker company On soar 20% as it raises guidance again,Business,real
Airlines warn flight cancellations will continue even after shutdown ends,Business,real
Real estate titan Barry Sternlicht says he will 'have to' drop employees in favor of AI,Business,real
Flight disruptions from shutdown pile up as Trump threatens air traffic controllers,Business,real
"Disney's newest cruise ship, the Destiny, is getting ready to set sail: Here's a peek inside",Business,real
More than 100 lawmakers push Starbucks to resume union negotiations,Business,real
