text,label
 Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbing,fake
 WATCH: Paul Ryan Just Told Us He Doesn’t Care About Struggling Families Living In Blue States,fake
 CNN CALLS IT: A Democrat Will Represent Alabama In The Senate For The First Time In 25 Years,fake
" Sitting GOP Senator Has Had ENOUGH, Donates To Alabama Democrat For Senate (IMAGE)",fake
 BREAKING: Michael Flynn CRACKS – Will Testify To Mueller Against Trump Himself,fake
 Trump Supporters Object To Prince Harry’s Recent Engagement For Terrible Reasons (TWEETS),fake
" Ivanka Defends Malia Obama From Attacks, Her Dad’s Fans Won’t Stop: ‘She Looks Like A Baboon’",fake
 GOP Senator Caught On Hot Mic Trashing His Own Party Over Roy Moore And Donald Trump (VIDEO),fake
 Texas Sheriff Threatens To Jail Truck Owner For Anti-Trump Sticker (SCREENSHOTS),fake
 Conservative ‘Christian’ Leader Defends Pedophile GOP Candidate Roy Moore,fake
" Trump Seething After Humiliating Virginia Elections, Throws Ed Gillespie Under The Bus",fake
 University Of Texas Police Kick Humiliated Nazis Off Campus Before They Could Start Trouble,fake
 Hawaiians Had The Perfect Signs To Infuriate Trump When He Landed There,fake
 Trump Is Literally Sabotaging The Case Against The NYC Terrorist By Not Keeping His Mouth Shut,fake
 How Sh*tty Of A Birthday Must Ivanka Trump Be Having?,fake
 Twitter Just Banned A Major Trump Ally For Threatening Journalists (SCREENSHOTS),fake
 Trump’s ICE Thugs Stop Ambulance Taking 10-Year-Old Girl With Cerebral Palsy To Surgery,fake
" Trump Takes Credit For Releasing JFK Files, But The Bill Requiring It Was Passed 25 Years Ago",fake
 Trump WHINES Like A B*tch On Twitter After NFL And Democrats Tell Him To Go F*ck Himself,fake
 Hustler Owner Is So Fed Up With Trump That He Is Offering $10 Mill For Dirt To Get Him Impeached,fake
 Trump Just Asked The Most Unqualified Person Ever To Join His NAFTA Renegotiation Team,fake
 ‘Charlottesville 3.0’: Nazis Descend Upon College Town For Another Torch-Lit Rally (TWEETS/IMAGES),fake
 The Justice Department Just Said It’s Legal To Discriminate Against Transgender People,fake
 Country Guitarist Who Survived Vegas Shooting Changes Mind On Gun Control: ‘How Wrong I Was’,fake
 Rep. Joe Kennedy Torches GOP Congress For Screwing Over Low-Income Kids,fake
 GOP Senator Just Smacked Down The Most Punchable Alt-Right Nazi On The Internet,fake
 Loser Trump Fails Miserably Again As ‘Monday Night Football’ Ratings Soar,fake
" People Upset By NFL Players ‘Disrespecting’ The Flag Do It CONSTANTLY, According To The Flag Code",fake
 WATCH: Bill Maher Hilariously Explains Why Trump Ditched McConnell And Ryan For Chuck And Nancy,fake
 Beef Jerky Company Just Bit Off More Than It Can Chew With Direct Appeal To Nazis (VIDEO),fake
 Trump Doesn’t Want You To Know About This Study That PROVES Refugees Contribute To Our Economy,fake
 GOP Implodes As California Passes Bill To Make Congress Censure Trump’s Racism (DETAILS),fake
 Trump Fans Are Crying In Their Milk After Their Hero Breaks Yet Another Promise To Them (TWEETS),fake
 Cowardly ESPN Won’t Stand Up For Black Reporter Who Spoke The Truth About Trump (TWEETS),fake
" Florida GOP Official Tried To Murder A Teen With A Claw Hammer, Refuses To Resign",fake
" With Irma About To Strike Florida, Trump Begs For Donations To His Re-Election Campaign",fake
 Facebook Just Confirmed Russia Spent At Least $100k On Ads To Influence Election,fake
 South Dakota Republican Rigs Upcoming Election For Herself By Personally Purging Democratic Voters,fake
 Trump Stops Praising Coast Guard’s Harvey Efforts To Viciously Attack The Media (VIDEO),fake
